Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
2245,13,6,12,23.63956817543227,201.9511448275862,144.0381899999994,7.478040373856118,169.99299939997925,299.24699966398833,1370.2954260094702,3673.6238262683087,4534.598076487551,1800.0000179999997,2160.0000216,12078.5536,5043.919252287766,1459.9637683653302,-9.986920556087992e-9,973.3091789102202,973.30917892022,973.3091789102202,411.9885311933868,729.9818841826651,1043.0181158073347,561.3206477268332,1.0000044195912256e-8,-286979.8545544267,-769364.0446719767,0.0,-209794.31707331256,-242155.52788072042,-3.417634751283546e6,-6360.280355899791,-7888.157143961667,543.7525360338623,-3870.6551111545996,-4.924721731559596e-7
2246,14,6,12,23.63956817543227,201.9511448275862,144.0381899999994,6.5215280665171855,169.99299939997925,299.24699966398833,1598.6952510093822,5358.248615946267,2355.8217626900796,1800.0000179999997,2160.0000216,11812.4371,6956.943866965625,1460.3285692457296,-9.975735819781122e-9,973.552379497153,973.5523795071528,973.552379497153,412.0766959065367,730.1642846228647,1042.8357153671354,561.475683600616,1.0000044195912256e-8,-333284.27212103544,-1.1170484109974483e6,0.0,-209794.31707331256,-242155.52788072042,-3.346266266649327e6,-12099.766992027668,-7890.1281563377415,541.3761132274522,-3826.9362911196076,-4.924721731559596e-7
2247,15,6,12,23.63956817543227,89.8421052631579,81.62762560522106,5.402981439065851,169.99299939997925,299.24699966398833,3616.0674390086024,6727.710859674446,-9.999757908755109e-9,1800.0000179999938,1290.3489214419626,11915.299599999998,9194.037121868267,1518.8276381150067,1149.7411768147804,1012.5517587433377,1012.5517587533375,1012.5517587433377,439.29533143734824,759.4138190575032,1013.5861809324966,573.2564273159893,1.0000044195912256e-8,-344412.65674946253,-640781.404137185,-1.1210632550273312e-6,-7998.043839378923,-1.4551915228366852e-11,-4.709686243397536e6,-21132.579649573083,-109074.54833240136,-60810.01414558661,960.1486783935688,-4.924721731559596e-7
2248,16,6,12,23.63956817543227,-5.402981439065791,53.9143233271204,5.402981439065834,169.99299939997925,299.24699966398833,5366.031580804071,8595.005157340935,-9.999869109829448e-9,-9.99970110021876e-9,-9.9997150444407e-9,12442.2091,9194.037121868312,1518.8276381150067,4766.999616276695,1012.5517587433378,1012.5517587533377,1012.5517587433378,439.2949587761546,759.4138190575034,1013.5861809324967,573.256799977183,1.0000044195912256e-8,-2.2919266484677792e-10,-3.637978807091713e-10,-2.0735141220495683e-6,-9.079901499641826e-7,-9.524237264052851e-7,-6.094818865718122e6,-21132.57964957323,-206130.28523940538,-88871.23045765728,960.2120281876414,-4.924721731559596e-7
2249,17,6,12,23.63956817543227,201.9511448275862,144.0381899999994,5.953144341171279,169.99299939997925,299.24699966398833,1179.992433009544,6913.718884637941,2716.558020755696,1800.0000179999997,2160.0000216,13310.0371,8093.711317657436,1460.2322780031798,-9.950668035144118e-9,973.4881853354532,973.488185345453,973.4881853354532,411.8131842343254,730.1161390015899,1042.88386098841,561.6750011111277,1.0000044195912256e-8,-245325.48800936193,-1.437391810223266e6,0.0,-209794.31707331256,-242155.52788072042,-3.7455949604531345e6,-16377.040723394042,-7889.607896535716,501.1642480896844,-3797.6369840731495,-4.924721731559596e-7
2250,18,6,12,23.63956817543227,201.9511448275862,144.0381899999994,5.45878379003451,169.99299939997925,299.24699966398833,875.4765870096617,8206.955832911795,2720.76985974885,1800.0000179999997,2160.0000216,14302.9576,9082.43241993097,1460.2447192703073,-9.513629507027221e-9,973.4964795135382,973.496479523538,973.4964795135382,411.82192949378884,730.1223596351537,1042.8776403548463,561.6745500297492,1.0000044195912256e-8,-181582.53641807212,-1.7022041234722014e6,0.0,-209794.31707331256,-242155.52788072042,-4.007261893125328e6,-20622.644665653337,-7889.675116463797,502.0587010481395,-3797.1214848213713,-4.924721731559596e-7
2251,19,6,12,23.63956817543227,201.95114482758615,144.03818999999936,5.402981439065838,169.99299939997925,299.24699966398833,494.84472000980867,11128.435534968155,974.7806816160753,1800.0000179999997,2160.0000216,15096.705100000001,9194.037121868314,1461.3558761940385,2429.2431331096514,974.2372507960256,974.2372508060255,974.2372507960256,412.5415805182001,730.6779380970193,1042.3220618929806,561.6956702878254,1.0000044195912256e-8,-102608.09455529992,-2.307527027068084e6,5.820766091346741e-11,-209794.31707331244,-242155.5278807203,-4.214667540835084e6,-21132.579649573192,5229.476882522897,571.5054456936487,-3740.642297287588,-4.924721731559596e-7
2252,20,6,12,23.63956817543227,201.95114482758615,144.03818999999936,5.402981439065844,169.99299939997925,299.24699966398833,38.070951009985166,10872.622500487274,1979.6437017612884,1800.0000179999997,2160.0000216,15389.8486,9194.037121868309,1460.4885928585488,1716.6563296289519,973.6590619056992,973.6590619156991,973.6590619056992,411.92904250006103,730.2442964292744,1042.7557035607256,561.7300194156381,1.0000044195912256e-8,-7894.168782815986,-2.25448313881568e6,1.1641532182693481e-10,-209794.31707331244,-242155.5278807203,-4.290867456593124e6,-21132.57964957314,1384.0695253574522,508.6592574919632,-3776.084172772127,-4.924721731559596e-7
2253,21,6,12,23.63956817543227,89.84210526315792,81.62762531240031,5.402981439065836,169.99299939997925,299.24699966398833,1.000003222586139e-8,13176.090747603046,-9.999757908755109e-9,1800.0000179999938,1595.1964725119633,15052.459599999998,9194.037121868321,1518.8276381150067,3982.0536257447257,1012.5517587433377,1012.5517587533375,1012.5517587433377,439.2924689765058,759.4138190575032,1013.5861809324966,573.2592897768318,1.0000044195912256e-8,-9.524539363771997e-7,-1.2549579056518204e6,-1.121063255027331e-6,-7998.043839378923,-2.9103830456733704e-11,-5.890664465135327e6,-21132.57964957322,-93771.61644470162,-60810.501040387055,960.6352766978671,-4.924721731559596e-7
2254,22,6,12,23.63956817543227,89.84210526315728,81.62762526095696,5.402981439065834,169.99299939997925,299.24699966398833,1.0000032225861389e-8,13866.708287135021,-9.999757908755109e-9,1800.0000179999938,43.02993297999089,14190.9106,9194.037121868323,1518.8276381150067,4672.671165276696,1012.5517587433377,1012.5517587533375,1012.5517587433377,439.2925665480535,759.4138190575032,1013.5861809324966,573.2591922052841,1.0000044195912256e-8,-9.524539363771932e-7,-1.320735833082611e6,-1.1210632550273373e-6,-7998.043839377788,2.637534635141492e-11,-5.568786586523254e6,-21132.57964957323,-90040.22264502899,-60810.48450599605,960.6186902178451,-4.924721731559596e-7
