Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
2556,12,3,14,64.0064141965461,116.14851653716777,77.34483441529403,5.0433667666455575,106.97867480008084,160.13834263571337,4724.105692381275,12864.38,9913.274283085291,886.4999988652056,1181.9999984869162,0.0,-92853.31063655182,-4.7311460058490895e6,-24568.21300997844,83354.41274043237,0.0
2557,13,3,14,64.0064141965461,80.68145425229021,50.74453709267423,4.733738718523951,80.3783768464634,124.67128232601425,1039.4275696093366,12292.179999999998,10532.524634606169,558.6299444587918,744.839925945047,0.0,-2842.328460872828,-4.965466930228583e6,-27733.50788477269,52525.966409797504,0.0
2558,14,3,14,64.0064141965461,-4.733855814427888,-3.155200151410158,4.733738718576036,80.37837675928301,124.67125470294141,8.997794628984923e-11,11962.1,10532.524634507903,281.0847459192522,374.77966122566085,0.0,7.19339477014823e-9,-5.858812061125267e6,-27733.507884224106,26429.396397560362,0.0
2559,15,3,14,64.0064141965461,-4.733855814424396,-3.1552001514123553,4.733738718550427,80.37837675928297,124.67125470294141,8.997794628984489e-11,12054.24,10532.524634555915,281.0847459192523,374.7796612256611,0.0,7.193394770147568e-9,-5.902552156640467e6,-27733.507884493825,26429.396397560355,0.0
2560,16,3,14,64.0064141965461,80.68145416384617,50.74453709292434,4.733738718509072,80.37837684667421,124.67128214877644,1039.4275696712746,12587.28,10532.5246346316,848.6172436323042,1131.4896581763967,0.0,-2842.3283689416567,-5.0800304233845025e6,-27733.5078849294,79792.43032012011,0.0
2561,17,3,14,64.0064141965461,84.36118371899484,53.50433383967672,4.733738718494671,83.13817508123056,128.35101046939556,1449.9431119245537,13465.22,10532.52463466002,886.4999988653018,1181.9999984870597,0.0,-7605.198487981645,-5.370027914702817e6,-27733.507885081075,83354.41203820298,0.0
2562,18,3,14,64.0064141965461,125.19354569529484,84.12860656244197,5.235423217432053,113.76244673650166,169.18337169396585,6713.582113515412,14469.74,9529.157861966818,886.4999988627712,1181.9999984836488,0.0,-144580.24914031138,-5.161635224526464e6,-22701.191916980904,83354.41290890946,0.0
2563,19,3,14,64.0064141965461,143.84975660780472,104.28948953017166,7.508071847082148,121.58587416158136,196.06460019546876,10817.061758136944,15394.92,4983.858185983326,1569.9999999999782,270.6666391264122,0.0,-308107.58677607053,-5.186650052745375e6,-6209.7059193036985,-99815.54598232202,0.0
2564,20,3,14,64.0064141965461,161.86171737624596,131.30743286685885,9.160448671054764,121.58587334905087,232.08852281667396,14778.837010191013,16051.94,1679.1029339409754,1569.9999999999932,270.6666391340969,0.0,-538623.398504694,-5.105694452175043e6,-704.8464339336915,-156373.10471660574,0.0
2565,21,3,14,64.0064141965461,166.0509868368006,137.59133793697688,9.705758457152207,121.58587302211639,240.46706217193474,15700.27722796883,15882.76,588.4827161786386,1569.999999999994,270.6666391436957,0.0,-602465.9272761217,-4.988704446785936e6,-86.57808553741597,-169527.4115916884,0.0
2566,22,3,14,64.0064141965461,159.35159356875104,127.54224859095939,9.394804307119218,121.58587281622609,227.06827588448652,14226.729334920863,15031.12,1210.3906093008231,1569.9999999999925,270.66663918975416,0.0,-502219.66669885,-4.837908864308875e6,-366.26182668129877,-148491.31717052215,0.0
2567,23,3,14,64.0064141965461,156.45380165491605,123.1955602739019,9.64435621969549,121.58587298150344,221.2726918528088,13589.35283343212,13894.64,711.2871107323447,1569.9999999999914,270.6666391543931,0.0,-461917.1150749754,-4.532124473461538e6,-126.48249846923136,-139392.2502003524,0.0
2568,24,3,14,64.0064141965461,150.15797981035442,113.75182774621318,9.510655424468515,121.58587289297164,208.68104827099717,12204.571417984864,12777.259999999998,978.6885262113782,1569.9999999999877,270.66663917408823,0.0,-380720.26373732416,-4.26594948450385e6,-239.4581136019915,-119623.36979847582,0.0
2569,1,4,14,49.30436270903817,123.72216576369365,83.02507693190009,7.198173210402313,112.65891303668991,167.71198979424068,6389.950049098693,10220.6,5603.649927013573,886.4999987983838,1181.9999983977925,0.0,-134940.14109245117,-3.7152094021455925e6,-7850.233358903941,83354.41612378354,0.0
2570,2,4,14,49.30436270903817,123.61666983886424,82.94595510570022,7.066861097957806,112.57979111779585,167.6064938220043,6366.745996187978,10460.02,5866.273979954814,886.4999987953322,1181.9999983937241,0.0,-134267.2535380217,-3.8002121381515833e6,-8603.303818669629,83354.41619475142,0.0
2571,3,4,14,49.30436270903817,121.76355641373443,81.55612032500534,6.744642508518752,111.18995610937068,165.75338028020963,5959.14923939157,10696.859999999999,6510.710736826533,886.4999987878143,1181.9999983837074,0.0,-122846.6507811693,-3.9029137666156804e6,-10597.352397338582,83354.41636888785,0.0
2572,4,4,14,49.30436270903817,119.17097272368994,79.61168305170496,6.191989649274471,109.24551844569807,163.16079639037494,5388.904245213961,11231.92,7616.015731133714,886.4999987749447,1181.999998366555,0.0,-108136.31534962007,-4.119746134437333e6,-14500.942831226588,83354.41666755604,0.0
2573,5,4,14,49.30436270903817,124.13604827947776,83.33548948746065,6.450360055576982,112.96932506457276,168.1258720403454,6480.984719118792,11807.26,7099.275257167538,886.4999987810294,1181.9999983746516,0.0,-137603.65998033003,-4.263659166707153e6,-12599.94373503809,83354.41652793725,0.0
2574,6,4,14,49.30436270903817,132.4610359034241,89.5792296538812,7.066861097962484,119.21306567244648,176.4508598948707,8312.08599618143,12405.36,5866.273979954801,886.4999987960796,1181.9999983945756,0.0,-199179.55330713233,-4.367086967733099e6,-8603.30381864219,83354.41619480506,0.0
2575,7,4,14,49.30436270903817,128.86188420233336,86.87986647488597,6.39964962787711,116.51370201792419,172.85170794711016,7520.443930181469,12948.14,7200.6960461149765,886.4999987800484,1181.9999983733055,0.0,-170687.78917726688,-4.5959803708599e6,-12962.522802039915,83354.41655535481,0.0
2576,8,4,14,49.30436270903817,132.44238785382223,89.56524403450794,6.599620011013238,119.19907972326966,176.4322116766358,8307.984434375903,13335.74,6800.755541869168,886.4999987852244,1181.999998380103,0.0,-199024.58774311724,-4.6793502989177685e6,-11562.584069496697,83354.41644732276,0.0
2577,9,4,14,49.30436270903817,119.98007171917156,80.21850822253835,5.158451086232257,109.85234288721156,163.96989501309062,5566.867823777143,13476.960000000001,9683.092152823976,886.4999987509558,1181.9999983345676,0.0,-112568.45049259835,-4.894477809091595e6,-23440.59588439756,83354.41722613169,0.0
2578,10,4,14,49.30436270903817,126.50474847069844,85.11201486787058,5.94827062372287,114.74585025474046,170.49457213146755,7001.9862030528,13332.44,8103.45377331815,886.4999987727397,1181.9999983635844,0.0,-153572.16867257655,-4.757410585857321e6,-16416.51093858087,83354.41667115447,0.0
2579,11,4,14,49.30436270903817,111.22824851536797,73.65463879960684,4.733738718566745,103.2884750109387,155.21807255846227,3641.8822606622257,12840.460000000001,10532.52463452132,886.4999987763046,1181.9999983683804,0.0,-72271.95604131708,-4.785911357803859e6,-27733.50788432196,83354.4160047904,0.0
