Gen_VRES_Solar_elec,Demand_GC_Elec_01_elec,Gen_VRES_Wind_H2_GC,Offtaker_Grey_elec,jy,Cons_Elec_01_H2,Gen_Conv_01_elec,Gen_Conv_01_H2_GC,Offtaker_Green_H2_GC,Gen_Conv_01_EP,Demand_GC_Elec_01_elec_GC,Offtaker_Import_EP,Gen_VRES_Wind_elec,Gen_VRES_Solar_elec_GC,Demand_GC_Elec_01_EP,Offtaker_Grey_H2_GC,Offtaker_Green_EP,Gen_Conv_01_elec_GC,Offtaker_Import_H2_GC,Gen_VRES_Wind_EP,Gen_VRES_Wind_elec_GC,Demand_GC_Elec_01_H2,Prod_H2_Green_H2,Cons_Elec_01_EP,Offtaker_Grey_elec_GC,Gen_VRES_Solar_H2_GC,Offtaker_Import_elec,Demand_GC_Elec_01_H2_GC,Time,Gen_VRES_Solar_H2,jd,Gen_VRES_Wind_H2,Gen_Conv_01_H2,Prod_H2_Green_H2_GC,Offtaker_Green_H2,Offtaker_Grey_EP,Offtaker_Green_elec,Offtaker_Grey_H2,Offtaker_Green_elec_GC,Offtaker_Import_elec_GC,Cons_Elec_01_elec,Cons_Elec_01_H2_GC,Prod_H2_Green_elec_GC,jh,Offtaker_Import_H2,Gen_VRES_Solar_EP,Cons_Elec_01_elec_GC,Prod_H2_Green_EP,Prod_H2_Green_elec
9.865713894272004e-9,0.0,0.0,0.0,1,0.0,14089.862845925541,0.0,9.389705162353088e-9,0.0,-3037.7972226994225,-9.506290387291476e-9,3037.7972226846055,9.865713894272004e-9,0.0,-270.6666457659204,202.9999843100402,0.0,0.0,0.0,3037.7972226846055,0.0,270.66664574672023,0.0,0.0,0.0,0.0,0.0,22,0.0,1,0.0,0.0,270.6666457565307,-270.66664574672023,1570.000015699466,0.0,0.0,0.0,0.0,-16721.660099999932,0.0,4.951420906143571e-9,22,0.0,0.0,0.0,0.0,-405.9999686200803
9.858623386583875e-9,0.0,0.0,0.0,1,0.0,12291.141866894533,0.0,9.389705162353088e-9,0.0,-3583.3982017310036,-9.635857866593681e-9,3583.3982017165476,9.858623386583875e-9,0.0,-270.6666457665386,202.9999843105038,0.0,0.0,0.0,3583.3982017165476,0.0,270.6666457473384,0.0,0.0,0.0,0.0,0.0,23,0.0,1,0.0,0.0,270.6666457571489,-270.6666457473384,1570.000015699132,0.0,0.0,0.0,0.0,-15468.540099999933,0.0,4.597360274600136e-9,23,0.0,0.0,0.0,0.0,-405.9999686210076
9.854223723375866e-9,0.0,0.0,0.0,1,0.0,11210.971087476146,0.0,9.389705162353088e-9,0.0,-3456.928981150628,-9.68544063708078e-9,3456.9289811360895,9.854223723375866e-9,0.0,-270.666645767301,202.99998431107565,0.0,0.0,0.0,3456.9289811360895,0.0,270.66664574810085,0.0,0.0,0.0,0.0,0.0,24,0.0,1,0.0,0.0,270.66664575791134,-270.66664574810085,1570.0000156986098,0.0,0.0,0.0,0.0,-14261.900099999937,0.0,4.683781613294477e-9,24,0.0,0.0,0.0,0.0,-405.9999686221513
1.1500639586469719e-20,0.0,0.0,0.0,1,0.0,-9.475032372531328e-9,0.0,-1614.44067398864,0.0,-9101.790090982235,-9.686965367888531e-9,13096.930605510073,1.1500639586469719e-20,0.0,-374.7796630212888,1491.915252750342,0.0,0.0,0.0,13096.930605510073,0.0,1989.2203370004563,0.0,0.0,0.0,0.0,0.0,25,0.0,2,0.0,0.0,1989.2203370099287,-1989.2203370004563,281.0847472593449,0.0,0.0,0.0,0.0,-10113.100099999914,0.0,-3995.140514527839,1,0.0,0.0,0.0,0.0,-2983.8305055006845
1.2617922344199602e-20,0.0,0.0,0.0,1,0.0,-9.475032372531328e-9,0.0,-1614.44067398864,0.0,-9291.330092874374,-9.686965367888531e-9,13307.530605510075,1.2617922344199602e-20,0.0,-374.7796630212889,1491.915252750342,0.0,0.0,0.0,13307.530605510075,0.0,1989.2203370004563,0.0,0.0,0.0,0.0,0.0,26,0.0,2,0.0,0.0,1989.2203370099287,-1989.2203370004563,281.08474725934497,0.0,0.0,0.0,0.0,-10323.700099999916,0.0,-4016.2005126357035,2,0.0,0.0,0.0,0.0,-2983.8305055006845
1.457040490195165e-20,0.0,0.0,0.0,1,0.0,-9.47503237253133e-9,0.0,-1614.4406739886397,0.0,-9572.400095678966,-9.686965367888531e-9,13619.830605510077,1.457040490195165e-20,0.0,-374.779663021289,1491.915252750342,0.0,0.0,0.0,13619.830605510077,0.0,1989.2203370004563,0.0,0.0,0.0,0.0,0.0,27,0.0,2,0.0,0.0,1989.2203370099287,-1989.2203370004563,281.0847472593451,0.0,0.0,0.0,0.0,-10636.000099999917,0.0,-4047.4305098311115,3,0.0,0.0,0.0,0.0,-2983.8305055006845
1.946935491439177e-20,0.0,0.0,0.0,1,0.0,-9.475032372531331e-9,0.0,-1614.44067398864,0.0,-9973.188099673856,-9.686965367888531e-9,14065.150605510074,1.946935491439177e-20,0.0,-374.7796630212888,1491.915252750342,0.0,0.0,0.0,14065.150605510074,0.0,1989.2203370004563,0.0,0.0,0.0,0.0,0.0,28,0.0,2,0.0,0.0,1989.2203370099287,-1989.2203370004563,281.0847472593449,0.0,0.0,0.0,0.0,-11081.320099999914,0.0,-4091.962505836218,4,0.0,0.0,0.0,0.0,-2983.8305055006845
9.540420218981247e-9,0.0,0.0,0.0,1,0.0,1168.7075673833494,0.0,-1220.4913231843561,0.0,-10449.342099911744,-9.686965367888134e-9,13130.041025004479,9.540420218981247e-9,0.0,-571.7543384234308,1344.1842461987355,0.0,0.0,0.0,13130.041025004479,0.0,1792.2456615983142,0.0,0.0,0.0,0.0,0.0,29,0.0,2,0.0,0.0,1792.2456616077868,-1792.2456615983142,428.8157538109514,0.0,0.0,0.0,0.0,-11610.380099999897,0.0,-2680.6989251022746,5,0.0,0.0,0.0,0.0,-2688.3684923974715
9.594282843121885e-9,0.0,0.0,0.0,1,0.0,2390.202371071829,0.0,5.386568572068288e-9,0.0,-10929.906099813852,-9.655837473808534e-9,11527.137728923262,9.594282843121885e-9,0.0,-1182.0000000181092,886.500000002397,0.0,0.0,0.0,11527.137728923262,0.0,1182.000000003196,0.0,0.0,0.0,0.0,0.0,30,0.0,2,0.0,0.0,1182.0000000127227,-1182.000000003196,886.500000007259,0.0,0.0,0.0,0.0,-12144.340099999892,0.0,-597.2316291190054,6,0.0,0.0,0.0,0.0,-1773.0000000047942
9.660065173055246e-9,0.0,0.0,0.0,1,0.0,5551.601519681461,0.0,8.185605028142854e-9,0.0,-8839.838580297748,-9.593481588896655e-9,8839.83858031005,9.660065173055246e-9,0.0,-1182.0000000186328,886.5000000006419,0.0,0.0,0.0,8839.83858031005,0.0,1182.0000000008558,0.0,0.0,0.0,0.0,0.0,31,0.0,2,0.0,0.0,1182.0000000104471,-1182.0000000008558,886.5000000089517,0.0,0.0,0.0,0.0,-12618.440099999887,0.0,-2.196200717470226e-8,7,0.0,0.0,0.0,0.0,-1773.0000000012838
