Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
56,8,3,1,52.1089688986223,38.5,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358562,38.32169931206139,19.438822760981537,0.0,35.75000003615035,43.19999981060882,22.01052203689258,14.560522262434105,14.673681357928388,14.673681357928388,14.673681357928388,14.673681357928388,11.00526101844629,33.99473898155371,0.0,0.0,-2340.655577981911,-1187.3061409511297,0.0,-16179.109391037196,-1073.9901174532476,-168.21442084641552,288.24733568461374,-644.7598150724953,0.0
57,9,3,1,52.1089688986223,38.5,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358562,53.650379036885944,15.55105820878523,0.0,38.50000003909926,43.19999981096524,30.70143720657191,26.001437434705934,20.467624804381273,20.467624804381273,20.467624804381273,20.467624804381273,15.350718603285955,29.649281396714045,0.0,0.0,-3276.9178091746753,-949.8449127609038,0.0,-17397.187517291648,-1073.9901174594143,-106.12184745471211,402.0625890494414,-562.3418729807231,0.0
58,10,3,1,52.1089688986223,38.5,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358562,65.14688883050435,11.663293656588923,0.0,41.250000042047844,43.19999981115072,35.56018244504543,33.61018267594255,23.70678829669695,23.70678829669695,23.70678829669695,23.70678829669695,17.780091222522714,27.219908777477286,0.0,0.0,-3979.114482569248,-712.3836845706778,0.0,-18611.484393537845,-1073.990117462623,-44.02927405915648,465.69217345515585,-516.2652773765849,0.0
59,11,3,1,52.1089688986223,38.5,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358562,72.81122869291664,9.719411380490769,0.0,44.00000004499606,43.19999981130332,38.530640028411355,39.33064026210409,25.687093352274236,25.687093352274236,25.687093352274236,25.687093352274236,19.265320014205678,25.734679985794322,0.0,0.0,-4447.245598165631,-593.6530704755648,0.0,-19822.00001977577,-1073.9901174652632,18.06329933713323,504.5929538516516,-488.0957467446401,0.0
60,12,3,1,52.1089688986223,38.5,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358562,76.64339862412278,11.663293656588923,0.0,46.75000004794391,43.19999981139122,41.5566922327678,45.10669246932048,27.704461488511868,27.704461488511868,27.704461488511868,0.0,20.7783461163839,24.2216538836161,27.704461488511868,0.0,-4681.311155963822,-712.3836845706778,0.0,-21028.73439600542,-1073.9901174667839,80.1558727348754,-394.0916447919044,478.9144404112776,0.0
61,13,3,1,52.1089688986223,38.5,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358562,72.81122869291664,15.55105820878523,0.0,45.10000004617512,43.19999981122059,43.26228685552675,45.16228709048128,28.84152457035117,28.84152457035117,28.84152457035117,0.0,21.631143427763377,23.368856572236623,28.84152457035117,0.0,-4447.245598165631,-949.8449127609038,0.0,-20305.14752026857,-1073.9901174638317,42.90032869889001,-410.26618983187973,533.5998069750044,0.0
62,14,3,1,52.1089688986223,38.5,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358562,65.14688883050435,15.55105820878523,0.0,44.00000004499601,43.19999981115101,36.697946994293574,37.49794722813857,24.465297996195716,24.465297996195716,24.465297996195716,24.465297996195716,18.348973497146787,26.651026502853213,0.0,0.0,-3979.114482569248,-949.8449127609038,0.0,-19822.000019775744,-1073.990117462628,18.063299340570552,480.5922107830977,-505.47559517359286,0.0
63,15,3,1,52.1089688986223,38.5,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358562,53.650379036885944,19.438822760981537,0.0,42.90000004381669,43.199999810899904,30.189201754050792,29.889201986967578,20.126134502700527,20.126134502700527,20.126134502700527,0.0,15.094600877025396,29.905399122974604,20.126134502700527,0.0,-3276.9178091746753,-1187.3061409511297,0.0,-19338.247519281533,-1073.9901174582837,-6.77373001365379,-286.2911250868856,114.4460166466888,0.0
64,16,3,1,52.1089688986223,38.5,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358562,38.32169931206139,23.326587313177846,0.0,41.25000004204771,43.19999981060839,20.398286583191528,18.448286814630848,13.598857722127685,13.598857722127685,13.598857722127685,0.0,10.199143291595764,34.80085670840424,13.598857722127685,0.0,-2340.655577981911,-1424.7673691413556,0.0,-18611.484393537787,-1073.9901174532401,-44.029274046914054,-193.44163066395197,-199.47370259275294,0.0
65,17,3,1,52.1089688986223,60.0,93.0,22.579117575697172,33.86867636354577,149.96645876358562,22.993019587236837,19.438822760981537,11.568157696624489,44.000000044842864,42.43183848317036,10.0,3.865048014972672e-6,6.666666666666666,6.666666666666666,6.666666666666667,0.0,5.0,40.0,6.666666666666666,0.0,-1898.7432679147387,-1605.2408303122324,0.0,-18876.000018744315,-1060.5969860240496,-225.7910884875982,-94.83229381792808,-2252.867174786453,0.0
66,18,3,1,52.1089688986223,60.0,93.0,22.579117575697172,33.86867636354577,149.96645876358562,11.496509793618419,15.55105820878523,29.70243204538462,46.75000004778826,27.04756809602104,10.0,-9.361738939617226e-8,6.666666666666666,6.666666666666666,6.666666666666667,6.666666666666666,5.0,40.0,0.0,0.0,-949.3716339573693,-1284.192664249786,0.0,-20023.609394909785,-748.8811106203657,-225.7911778707698,130.95888193904375,-2478.6583505434246,0.0
67,19,3,1,52.1089688986223,60.0,93.0,22.579117575697172,33.86867636354577,149.96645876358562,3.8321699312061392,11.663293656588923,39.604536458227344,45.10000004602241,15.495463612062743,10.0,-2.4267681197898128e-8,6.666666666666666,6.666666666666666,6.666666666666667,0.0,5.0,40.0,6.666666666666666,0.0,-316.45721131912313,-963.1444981873397,0.0,-19335.497519212055,-460.3574601800159,-225.7911763049146,-94.83229381792808,-2252.867174786453,0.0
68,20,3,1,52.1089688986223,60.0,93.0,22.579117575697172,33.86867636354577,149.96645876358562,0.0,15.55105820878523,35.698941833115185,41.250000041900414,15.551058208836054,10.0,-5.0823345532080566e-11,6.666666666666666,6.666666666666666,6.666666666666667,0.0,5.0,40.0,6.666666666666666,0.0,0.0,-1284.192664249786,0.0,-17724.609392571987,-461.85783276460677,-225.79117575811932,-94.83229381792808,-2252.867174786453,0.0
