Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
22,22,1,1,64.88673118303063,146.9599347141059,112.55224958697391,8.481101810650143,117.36540113508902,208.51062103506288,0.0,3037.7972171352676,14089.862729955066,16721.66,3037.7972226733837,1569.999999999991,270.66663898010444,0.0,0.0,-472198.34818352544,-443731.59469190263,-5.553898546644025e6,-2307.0517096100957,-133230.52596726146,0.0
23,23,1,1,64.88673118303063,139.38341146234757,101.18746433684868,8.208301395541742,117.36540113509594,193.3575740331942,0.0,3583.398195172332,12291.141750923405,15468.539999999999,3583.398201706052,1569.9999999999852,270.66663898072255,0.0,0.0,-528879.8774773537,-343793.6089803772,-5.279117462293718e6,-3210.1838892174237,-109440.24217425284,0.0
24,24,1,1,64.88673118303063,134.83354547791478,94.36266544660991,8.271535988582972,117.36540113511823,184.257842177482,0.0,3456.9289748224815,11210.970971505147,14261.900000000001,3456.928981125434,1569.9999999999766,270.66663898148505,0.0,0.0,-494704.10256586777,-290327.97407174576,-4.953715218236027e6,-2987.5878387636185,-95153.6631606886,0.0
25,1,2,1,33.815890027638034,-4.318530142873645,-10.157827560074553,4.318383668557338,82.93018204920894,123.22770772712431,0.0,13096.93058199633,1.7339964908483636e-10,10113.099999999999,9101.789999999999,281.08474578784495,374.7796610504401,0.0,0.0,1.9183639527182095,1.3790625469613627e-8,-4.972380237675394e6,-31002.233408336506,25511.979070168964,0.0
26,2,2,1,33.815890027638034,-4.318530113764768,-10.157827560073954,4.318383005581213,82.93018204920902,123.22770772712414,0.0,13307.530581879893,1.7339964908483408e-10,10323.7,9291.33,281.084745787845,374.7796610504402,0.0,0.0,1.9576466515063657,1.3790625464565977e-8,-5.073209732222973e6,-31207.57513652811,25511.979070169058,0.0
27,3,2,1,33.815890027638034,-4.318530070613504,-10.157827560072922,4.318382022895212,82.93018204920888,123.22770772712346,0.0,13619.830581707303,1.7339964908484132e-10,10636.000000000002,9572.400000000001,281.084745787845,374.77966105044015,0.0,0.0,2.016384841153922,1.379062545708414e-8,-5.222526265831046e6,-31479.009484037873,25511.97907016919,0.0
28,4,2,1,33.815890027638034,-4.318530009149887,-10.157827560070404,4.318380623145649,82.93018204920894,123.22770772712431,0.0,14065.150581461463,1.7339964908484938e-10,11081.32,9973.187999999998,281.08474578784495,374.7796610504401,0.0,0.0,2.101136644370854,1.3790625446427011e-8,-5.435020446782993e6,-31797.73846897528,25511.979070168964,0.0
29,5,2,1,33.815890027638034,81.36169163934703,48.59010690675458,4.318380533889708,82.93018211731976,123.22770865582822,0.0,13130.041001052294,1168.7074516566959,11610.380000000001,10449.342,428.8157525435837,571.7543367247584,0.0,0.0,-1.1249828606077181e6,-3593.3455115662073,-4.692048687943859e6,-32071.997857002854,38920.4272618702,0.0
30,6,2,1,33.815890027638034,93.01615672692843,57.33095719197465,4.318380349954772,91.67102913414719,134.8821775618856,0.0,11527.137707893917,2390.2022557566056,12144.34,10929.906,886.4999987689398,1181.9999983585597,0.0,0.0,-1.1219886126193388e6,-24622.71451725831,-4.758193924670394e6,-32233.857410538243,80461.02819621372,0.0
31,7,2,1,33.815890027638034,110.99530500748605,70.8153191882154,5.580081917149272,105.15539113412133,152.86132689187986,0.0,8839.838564180882,5551.60140370339,12618.44,8839.83858031107,886.4999987690006,1181.9999983586117,0.0,0.0,-1.030507600970699e6,-90533.36016711127,-4.709601118439337e6,-19535.675859109397,80461.0281991454,0.0
32,8,2,1,33.815890027638034,105.44380053122961,66.65169026197178,4.7558085969622566,100.99176220687688,147.30982165602484,171.21320828685413,10317.17248267113,4233.634273884996,12949.02,10488.385710141092,886.4999987689383,1181.9999983585426,0.0,-18867.628630795025,-1.1369483748984956e6,-63372.08546360285,-4.899519719344597e6,-27501.543471692865,80461.02819872388,0.0
33,9,2,1,33.815890027638034,104.92725946008179,66.26428436488953,4.644553443464904,100.60435630970731,146.79328045985395,650.5724689441232,10060.323803463856,4111.003691934125,13048.900000000001,10710.896292095977,886.4999987689343,1181.9999983585383,0.0,-71284.40484734392,-1.1023279175422387e6,-61216.92200503813,-4.942422445018839e6,-28680.807819901092,80461.0281986747,0.0
34,10,2,1,33.815890027638034,-4.318527063876548,-10.157827560053258,4.318417048204149,82.93018204920894,123.22770772712431,1715.9450798248308,14148.705489855642,1.7339964908490005e-10,12880.82,11363.166556491138,281.08474578784495,374.7796610504401,0.0,0.18878085175674642,1.5565793480418506,1.3790624935721678e-8,-6.288641764934422e6,-32280.384838137143,25511.979070168964,0.0
35,11,2,1,33.815890027638034,-4.318524008593603,-10.157827560015555,4.318382557994024,82.93018204920907,123.22770772712414,5014.26944485283,10468.301112606725,1.7339964908500376e-10,12498.74,11248.866,281.08474578784507,374.77966105044027,0.0,0.7092714194259315,1.4807474689587252,1.3790624405944934e-8,-6.108072981782669e6,-32277.506696899,25511.979070169073,0.0
36,12,2,1,33.815890027638034,-4.31852399139452,-10.157827560071539,4.318382363820338,82.93018204920894,123.22770772712431,6715.3494038035315,8272.021153586902,1.7339964908484587e-10,12003.539999999999,10803.186,281.08474578784495,374.7796610504401,0.0,0.9510786458449729,1.1715462895663222,1.3790624402950062e-8,-5.873501359807163e6,-32202.365166880227,25511.979070168964,0.0
37,13,2,1,33.815890027638034,-4.318523989712084,-10.157827560080666,4.31838234473359,82.93018204920894,123.22770772712431,7182.497448845461,7418.173108538181,1.7339964908481475e-10,11616.84,10455.155999999999,281.08474578784495,374.7796610504401,0.0,1.0173646966759406,1.0507469704243704,1.3790624402655854e-8,-5.689898887742647e6,-32074.627172080545,25511.979070168964,0.0
38,14,2,1,33.815890027638034,-4.318523989255721,-10.157827560080229,4.318382339669435,82.93018204920907,123.22770772712414,6364.8048204137585,8036.605736968076,1.7339964908482457e-10,11417.58,10275.822,281.08474578784507,374.77966105044027,0.0,0.9015719695998996,1.1383818777831038,1.37906244025775e-8,-5.5951456768087465e6,-31985.16230569234,25511.979070169073,0.0
39,15,2,1,33.815890027638034,-4.318523989518155,-10.157827560081108,4.318382342561872,82.93018204920902,123.22770772712414,7647.062552854678,6876.80800452819,1.7339964908481526e-10,11540.04,10386.036,281.084745787845,374.7796610504402,0.0,1.0831831351169967,0.9740789227871574,1.3790624402622267e-8,-5.653390285577999e6,-32042.04958006407,25511.979070169058,0.0
40,16,2,1,33.815890027638034,-4.318523991772642,-10.15782756008115,4.318382367873082,82.93018204920902,123.22770772712414,8306.033688269059,6728.156869122822,1.733996490848131e-10,12050.36,10845.324,281.084745787845,374.7796610504402,0.0,1.1763328808083315,0.9528678126553132,1.3790624403013022e-8,-5.8957057986074975e6,-32213.720898285224,25511.979070169058,0.0
41,17,2,1,33.815890027638034,-4.318527063915849,-10.157827560079983,4.318417048197173,82.93018204920902,123.22770772712414,8200.034911037887,7674.63565864258,1.7339964908482105e-10,12890.839999999998,11363.166556504435,281.084745787845,374.7796610504402,0.0,0.9021327339069103,0.8443305575710838,1.379062493572221e-8,-6.293372246534608e6,-32280.384838216436,25511.979070169058,0.0
42,18,2,1,33.815890027638034,-4.31852706389673,-10.157827560077708,4.318417048050173,82.93018204920888,123.22770772712346,7458.85114833345,9377.479421346963,1.7339964908483046e-10,13852.500000000002,11363.166556772208,281.084745787845,374.77966105044015,0.0,0.8205918234307319,1.0316713371066726,1.3790624935719641e-8,-6.74620770084013e6,-32280.3848398868,25511.97907016919,0.0
43,19,2,1,33.815890027638034,-4.318527063894128,-10.157827560076367,4.318417048033441,82.93018204920894,123.22770772712431,7320.54209801111,10284.548471669299,1.733996490848347e-10,14621.26,11363.166556802125,281.08474578784495,374.7796610504401,0.0,0.8053757396046421,1.131463451885793,1.3790624935719527e-8,-7.106545752033733e6,-32280.384840076935,25511.979070168964,0.0
44,20,2,1,33.815890027638034,-4.318527063888543,-10.157827560074594,4.318417048029886,82.93018204920907,123.22770772712414,6149.575556117775,11739.415013562631,1.7339964908484463e-10,14905.16,11363.166556808274,281.08474578784507,374.77966105044027,0.0,0.6765508351818426,1.2915218228517915,1.3790624935719348e-8,-7.23924359356959e6,-32280.38484011733,25511.979070169073,0.0
45,21,2,1,33.815890027638034,-4.3185270638857824,-10.157827560069764,4.318417048033351,82.93018204920894,123.22770772712431,3798.022188303185,13764.208381377226,1.7339964908485135e-10,14578.4,11363.16655680105,281.08474578784495,374.7796610504401,0.0,0.41784264859961695,1.5142811181285651,1.3790624935719405e-8,-7.086495031748152e6,-32280.384840077953,25511.979070168964,0.0
46,22,2,1,33.815890027638034,76.75003452025744,45.147427016274555,4.3184166454509,82.93018204706462,123.22770770318698,2225.6302481821676,14223.6643600516,292.25585168690577,13757.72,11363.166556761906,281.0847457896828,374.7796610528906,0.0,-180428.3970876794,-1.1530904395702695e6,-224.68767160991774,-5.586360940581964e6,-32280.3894146894,25511.979076260548,0.0
47,23,2,1,33.815890027638034,101.37090842200897,63.59702092115897,4.374738376471603,97.93709286539213,143.23692920125765,136.9564206744591,11113.863127552822,3266.700415231803,12744.519999999999,11250.819512747381,886.4999987689181,1181.9999983585224,0.0,-14482.545287425475,-1.1752426448528573e6,-48098.142409125576,-4.877307942659538e6,-31643.568311197996,80461.02819823896,0.0
48,24,2,1,33.815890027638034,102.36470999839436,64.34237251495833,4.969839458373055,98.68244445937712,144.23073132643327,0.0,10060.323803463845,3502.636162194676,11789.96,10060.323821826732,886.4999987689214,1181.9999983585253,0.0,0.0,-1.0798203228339846e6,-51461.81058637897,-4.514350217705331e6,-25302.51507453881,80461.02819836118,0.0
49,1,3,1,102.1231293972412,130.36488840893364,87.65968173247998,9.655130153698387,117.36540113539253,175.3205305554136,0.0,689.7398954084803,10150.080055970157,10433.82,689.7398966616701,1569.9999999999634,270.66663898269906,0.0,0.0,-96577.39295848328,-242600.46391724423,-3.7206254702806e6,-118.93521088808848,-81122.08391382376,0.0
50,2,3,1,102.1231293972412,130.54269931113507,87.92639795938767,9.562576960228894,117.36540113538504,175.67615219171034,0.0,874.8463325414862,10192.29361849917,10661.14,874.8463341324459,1569.9999999999654,270.66663898254103,0.0,0.0,-122570.58711571447,-244409.00799314003,-3.7967611240415853e6,-191.33891572257744,-81680.4098828304,0.0
51,3,3,1,102.1231293972412,133.83274096374302,92.86146072970178,9.776036658866492,117.36540113535571,182.2562358892389,0.0,447.9268195002443,10973.373132317287,11015.3,447.92682031217134,1569.9999999999827,270.66663898115127,0.0,0.0,-64326.22301281333,-279226.89965249714,-3.8817711658495823e6,-50.15957817167964,-92011.14128812237,0.0
52,4,3,1,102.1231293972412,136.61272256152503,97.03143326267245,9.875870419963857,117.36540113534791,187.81619926769736,0.0,248.25924315490496,11633.360709026301,11475.619999999999,248.25924360243658,1569.999999999988,270.6666389807239,0.0,0.0,-36367.147224411354,-310649.99164173356,-4.0054819907380114e6,-15.40815263994773,-100740.28379235478,0.0
53,5,3,1,102.1231293972412,138.20830045797118,99.42479999234119,9.79166124783022,117.36540113534085,191.00735490766766,0.0,416.67763310074,12012.16231877294,12022.839999999998,416.6776338556358,1569.9999999999898,270.6666389805696,0.0,0.0,-61668.27374257349,-329514.09412361914,-4.169077864839885e6,-43.405035655656775,-105750.39814712829,0.0
