Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
47,23,2,1,113.26120028586095,83.30009434829972,128.0,9.652337849087814,94.64266544897156,138.76382597162305,13521.78050802772,0.0,0.0,12714.916500000001,693.9926821376914,1022.4378865032235,271.7099829770366,0.0,410.5323997132946,0.0,0.0,-5.096218128916782e6,-120.86852787413955,-28523.85428489308,0.0
48,24,2,1,113.26120028586095,83.30439352276322,128.0,9.876604874336005,94.64266544888545,138.76382593018607,13026.882963753922,0.0,0.0,11772.110999999999,246.08640732277743,1022.4378865003306,269.57375371893363,0.0,339.50205984013155,0.0,0.0,-4.732158685916948e6,-15.226233188537662,-28726.032673393027,0.0
49,1,3,1,25.978438934960977,83.15745954196393,128.0,5.524456012572995,94.64266547603837,138.76382568510343,2342.8698788878723,0.0,0.0,8591.661,7710.465,1022.4378888661403,697.6853652981879,0.0,405.30625176019385,0.0,0.0,-3.4890989995705793e6,-19645.7076419601,11791.591500107868,0.0
50,2,3,1,25.978438934960977,83.16855901102267,128.0,6.398300541723245,94.64266547603792,138.76382566986118,3071.2228777262185,0.0,0.0,8753.199,7182.780428167847,1022.4378889318833,697.6853652904917,0.0,497.21919468048145,0.0,0.0,-3.5528354365162747e6,-12972.132707235243,11791.591511475854,0.0
51,3,3,1,25.978438934960977,83.1756495049864,128.0,6.579881796443642,94.64266547603788,138.76382565744825,3680.277682647058,0.0,0.0,9000.1665,6820.696279608628,1022.4378889712872,697.6853652756267,0.0,569.7278429803555,0.0,0.0,-3.6502348094248273e6,-11697.113072151857,11791.591520670045,0.0
52,4,3,1,25.978438934960977,83.16674782934672,128.0,6.351915424503851,94.64266547603766,138.7638256729129,3565.6039325079796,0.0,0.0,9340.071,7275.270422356035,1022.4378889210183,697.6853652918529,0.0,583.7155462204246,0.0,0.0,-3.784206012578504e6,-13308.411880758264,11791.591509060672,0.0
53,5,3,1,25.978438934960977,83.13973868947588,128.0,5.68527846530472,94.64266547603782,138.76382571537465,2603.4591838932574,0.0,0.0,9757.1955,8601.652942236427,1022.4378887694915,697.6853653034556,0.0,496.52257902454585,0.0,0.0,-3.9483834857563446e6,-18616.62884917137,11791.591474782734,0.0
54,6,3,1,25.978438934960977,83.141772543009,128.0,5.713930200308042,94.6426654760375,138.76382571291884,3156.0558671718773,0.0,0.0,10205.9295,8539.479818276295,1022.4378887787299,697.6853653026782,0.0,595.4929195664008,0.0,0.0,-4.1242244347223016e6,-18370.12766250596,11791.59147672975,0.0
55,7,3,1,25.978438934960977,83.1721347966857,128.0,6.4898756195487675,94.64266547603746,138.7638256637969,5115.4130481513175,0.0,0.0,10614.786000000002,7000.178888023832,1022.4378889531048,697.6853652782792,0.0,809.8741157877375,0.0,0.0,-4.283696485687784e6,-12320.872466288813,11791.591515394306,0.0
56,8,3,1,25.978438934960977,83.11627004099448,128.0,5.5889622524309575,94.6426654760389,138.7638257987309,2437.244006165871,0.0,0.0,10903.581,8810.659498743325,1022.4378886116718,697.6853653051256,0.0,522.0214277615887,0.0,0.0,-4.396915418910692e6,-19457.221429235564,11791.591398087097,0.0
57,9,3,1,25.978438934960977,-5.54614573149622,128.0,5.588962229899256,94.6426654760386,138.7638260030382,0.0,0.0,0.0,11009.3295,8810.659535212159,1022.4378861830287,697.6853653050583,0.0,0.0,0.0,0.0,-5.414217425763598e6,-19457.221627962863,11791.591318025894,0.0
58,10,3,1,25.978438934960977,-5.546146153469531,128.0,5.588962230227211,94.64266547603944,138.76382600293422,0.0,0.0,0.0,10910.5035,8810.659534665438,1022.4378861832341,697.6853653050489,0.0,0.0,0.0,0.0,-5.3669641387395505e6,-19457.22162507024,11791.591318121005,0.0
59,11,3,1,25.978438934960977,-5.546146131604471,128.0,5.5889622310457066,94.64266547603877,138.76382600293604,0.0,0.0,0.0,10639.492499999998,8810.659533340755,1022.4378861832157,697.685365305045,0.0,0.0,0.0,0.0,-5.237255929349164e6,-19457.221617851195,11791.59131811923,0.0
60,12,3,1,25.978438934960977,-5.5461461415813895,128.0,5.588962232370866,94.64266547603947,138.7638260029357,0.0,0.0,0.0,10279.269,8810.659531222234,1022.4378861832398,697.6853653050489,0.0,0.0,0.0,0.0,-5.064565614134676e6,-19457.221606163577,11791.591318119172,0.0
61,13,3,1,25.978438934960977,-5.546146213508503,128.0,5.588962233852594,94.64266547603911,138.76382600293533,0.0,0.0,0.0,9964.032,8810.659528959613,1022.4378861832304,697.6853653050474,0.0,0.0,0.0,0.0,-4.913175561226797e6,-19457.22159309566,11791.591318119696,0.0
62,14,3,1,25.978438934960977,-5.546146152862828,128.0,5.588962234204337,94.64266547603906,138.76382600296878,0.0,0.0,0.0,9894.807,8810.659528423621,1022.4378861826882,697.6853653050437,0.0,0.0,0.0,0.0,-4.879897538817309e6,-19457.221589993525,11791.591318113846,0.0
63,15,3,1,25.978438934960977,-5.546146204189398,128.0,5.588962233336073,94.64266547603926,138.7638260029439,0.0,0.0,0.0,10072.0815,8810.659529708553,1022.437886183192,697.6853653050449,0.0,0.0,0.0,0.0,-4.965093454401208e6,-19457.22159765083,11791.591318112827,0.0
64,16,3,1,25.978438934960977,-5.546146228479802,128.0,5.588962231458307,94.64266547603884,138.76382600293672,0.0,0.0,0.0,10567.0305,8810.65953275861,1022.4378861832388,697.6853653050482,0.0,0.0,0.0,0.0,-5.202543879368893e6,-19457.22161421259,11791.591318117658,0.0
65,17,3,1,25.978438934960977,-5.546146232896974,128.0,5.588962229368099,94.64266547603927,138.76382600293613,0.0,0.0,0.0,11312.886,8810.659536016065,1022.4378861832332,697.6853653050518,0.0,0.0,0.0,0.0,-5.559209183010847e6,-19457.22163264729,11791.59131811923,0.0
66,18,3,1,25.978438934960977,-5.546146147128501,128.0,5.588962227825052,94.64266547604004,138.76382600293533,0.0,0.0,0.0,12128.356500000002,8810.65953854215,1022.437886183218,697.6853653050465,0.0,0.0,0.0,0.0,-5.947572598434611e6,-19457.221646256992,11791.591318120889,0.0
67,19,3,1,25.978438934960977,-5.546146247879629,128.0,5.588962226988417,94.6426654760397,138.76382600303245,0.0,0.0,0.0,12731.316,8810.659540007711,1022.437886183281,697.6853653050466,0.0,0.0,0.0,0.0,-6.23365973159915e6,-19457.221653636647,11791.591318018036,0.0
