SOLAR,WIND,LOAD_E
0.083,0.381565,0.624626
0.095,0.842421,0.635745
0.082,0.859047,0.671456
0.095,1.0,0.726212
0.07,0.875891,0.788735
0.047,0.892953,0.840832
0.005,0.875891,0.857738
0.0,0.842421,0.83541
0.0,0.875891,0.782621
0.0,0.972479,0.711954
0.0,0.972479,0.646583
0.0,1.0,0.537848
0.0,1.0,0.543925
0.0,1.0,0.55469
0.0,1.0,0.575303
0.0,1.0,0.602249
0.0,1.0,0.631238
0.0,1.0,0.664848
0.0,0.659344,0.693581
0.0,0.553363,0.703927
0.0,0.371906,0.702348
0.008,0.427105,0.689988
0.083,0.565939,0.665415
0.192,0.487512,0.641383
0.24,0.884395,0.62972
0.252,0.842421,0.640183
0.275,0.801797,0.675353
0.269,0.981596,0.732175
0.16,1.0,0.800881
0.089,1.0,0.856771
0.009,1.0,0.881218
0.0,1.0,0.862308
0.0,1.0,0.807756
0.0,1.0,0.736519
0.0,1.0,0.667272
0.0,1.0,0.554386
0.0,1.0,0.566018
0.0,1.0,0.586853
0.0,1.0,0.609442
0.0,1.0,0.6336
0.0,1.0,0.657965
0.0,1.0,0.682301
0.0,1.0,0.700018
0.0,1.0,0.708765
0.0,1.0,0.700559
0.017,1.0,0.683433
0.086,1.0,0.658313
0.19,1.0,0.636007
0.245,1.0,0.62516
0.253,1.0,0.639302
0.277,1.0,0.675219
0.263,1.0,0.732895
0.145,1.0,0.800719
0.053,1.0,0.859598
0.006,1.0,0.881029
0.0,1.0,0.860122
0.0,1.0,0.802911
0.0,1.0,0.73211
0.0,1.0,0.662512
0.0,1.0,0.551674
0.0,1.0,0.563903
0.0,1.0,0.582657
0.0,1.0,0.606476
0.0,1.0,0.637074
0.0,1.0,0.670035
0.0,1.0,0.699665
0.0,1.0,0.721978
0.0,1.0,0.731773
0.0,0.754798,0.721715
0.018,0.522741,0.701647
0.062,0.264579,0.674357
0.092,0.097258,0.650798
0.069,0.004892,0.646392
0.067,0.004377,0.659431
0.036,0.005445,0.702069
0.023,0.063115,0.76894
0.011,0.165815,0.84747
0.006,0.317352,0.905367
0.001,0.280138,0.917602
0.0,0.317352,0.887807
0.0,0.284121,0.828786
0.0,0.381565,0.754798
0.0,0.411544,0.684578
0.0,0.25702,0.571908
0.0,0.39139,0.585837
0.0,0.348473,0.603899
0.0,0.371906,0.632739
0.0,0.2922,0.663106
0.0,0.245954,0.693494
0.0,0.201663,0.720919
0.0,0.149606,0.741374
0.0,0.113779,0.745572
0.0,0.075601,0.735391
0.02,0.087791,0.714177
0.084,0.095313,0.682604
0.155,0.087791,0.654308
0.256,0.115967,0.639536
0.275,0.214669,0.649442
0.243,0.308814,0.688325
0.134,0.381565,0.750566
0.103,0.272284,0.817135
0.066,0.280138,0.874062
0.009,0.313064,0.900919
0.0,0.32168,0.881505
0.0,0.300431,0.824759
0.0,0.231699,0.750287
0.0,0.163036,0.682791
0.0,0.095313,0.569112
0.0,0.080677,0.583631
0.0,0.075601,0.604971
0.0,0.054712,0.630369
0.0,0.049546,0.660623
0.0,0.066097,0.692422
0.0,0.082418,0.720599
0.0,0.084184,0.741863
0.0,0.084184,0.7502
0.0,0.099229,0.746527
0.026,0.101227,0.724234
0.117,0.084184,0.689246
0.211,0.034036,0.654787
0.269,0.109486,0.640018
0.325,0.115967,0.647688
0.319,0.082418,0.683298
0.226,0.054712,0.743385
0.175,0.016811,0.812126
0.102,0.007352,0.871712
0.015,0.003053,0.905642
0.0,0.002505,0.89406
0.0,0.004377,0.842065
0.0,0.005163,0.770256
0.0,0.009245,0.700092
0.0,0.006351,0.5841
