Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
830,14,3,5,1.0,-4.702213388492738,-20.257688547868945,4.702105731363023,98.75834389041735,140.36230939554028,5766.242119830569,9846.028449856089,5.734660635156763e-9,12628.44,10595.79518331323,2983.8305229299312,5016.475434120518,1989.220348619954,1989.220348615678,1989.2203627596596,1614.4406791927042,1491.9152720697448,281.08474649427956,374.77966199169924,0.0,0.6207770758628612,1.0599951620024513,4.5828285987795404e-7,-6.1742547486017775e6,-28067.68368164548,-140630.04988501134,-72363.20852082025,28907.318189902733,0.0
831,15,3,5,1.0,-4.702213388326054,-20.257688547758747,4.702105731007741,98.75834389041748,140.3623093955408,3675.4726310822234,12120.09793860431,5.734660635165452e-9,12811.74,10595.795183956818,2983.8305229299312,5199.7754334763895,1989.220348619954,1989.220348615678,1989.2203627596596,1614.4406791927045,1491.9152720697448,281.0847464942796,374.7796619916993,0.0,0.3956915269991441,1.3048172417620663,4.582828598776925e-7,-6.260937683071252e6,-28067.683685409982,-139768.15390905077,-72363.20852060159,28907.318189902653,0.0
832,16,3,5,1.0,-4.7022133878777534,-20.257688547437752,4.702105730406948,98.75834389041748,140.36230939554028,4939.174598392614,11422.935971293718,5.734660635190886e-9,13378.28,10595.795185036772,2983.8305229299312,5766.315432395574,1989.220348619954,1989.220348615678,1989.2203627596596,1614.4406791927045,1491.9152720697448,281.08474649427944,374.7796619916991,0.0,0.5317390451273241,1.2297643958445406,4.582828598771542e-7,-6.528324557624778e6,-28067.683691775856,-137104.222936053,-72363.20851996227,28907.318189902777,0.0
833,17,3,5,1.0,-4.702213387745105,-20.257688547374453,4.702105729985619,98.75834389041742,140.3623093955401,4701.2380351137135,12620.712534572465,5.73466063519708e-9,14338.12,10595.795185809757,2983.8305229299312,6726.15543162196,1989.220348619954,1989.220348615678,1989.2203627596596,1614.4406791927042,1491.9152720697448,281.0847464942796,374.7796619916993,0.0,0.5061247536687006,1.3587176345827174,4.582828598768885e-7,-6.979503793401096e6,-28067.683696240172,-132590.9537779807,-72363.20851983625,28907.318189902813,0.0
834,18,3,5,1.0,-4.702213387494333,-20.25768854719903,4.702105729759482,98.75834389041748,140.36230939554028,3475.3494997057237,14944.941069980385,5.734660635212191e-9,15436.460000000001,10595.795186220423,2983.8305229299312,7824.495431210989,1989.220348619954,1989.220348615678,1989.2203627596596,1614.4406791927045,1491.9152720697448,281.08474649427944,374.7796619916991,0.0,0.3741482549557986,1.6089385030791163,4.5828285987665797e-7,-7.492960157203021e6,-28067.683698636276,-127426.44297381096,-72363.20851948741,28907.318189902777,0.0
835,19,3,5,1.0,-4.702213380557861,-20.257688541392422,4.702105729477211,98.75834389041735,140.36230939554028,3102.6961749006623,16204.574394785726,5.734660635657949e-9,16323.44,10595.795186417892,2983.8305229299312,8711.475431014536,1989.220348619954,1989.220348615678,1989.2203627596596,1614.4406791927042,1491.9152720697448,281.08474649427956,374.77966199169924,0.0,0.33400859615721856,1.744439945090562,4.5828285987250216e-7,-7.905407931192733e6,-28067.683701627153,-123255.76922786474,-72363.208507937,28907.318189902733,0.0
836,20,3,5,1.0,95.6655394990364,54.79323349240071,4.702107109271931,98.75834510959481,140.36232435855217,1746.2709657169266,15545.995769198478,2245.7910781339056,16702.2,10595.795186376343,2835.85789405631,6696.471614687251,1890.5719293708737,1890.5719293665977,1890.5719208700004,1417.1438480579354,1417.9289406525004,355.07105801812787,473.4280773568303,0.0,-175269.10716942578,-1.5603150095371695e6,-28494.081310842623,-6.404570670129195e6,-28067.66908160491,18152.813736973563,61536.67531343675,36516.21388578293,0.0
837,21,3,5,1.0,114.20223707046891,68.6957617976157,4.702104989231911,112.66087236107785,158.89902875691854,1164.1885169485788,12679.054706055982,4296.0167350106185,16366.259999999998,10595.795185915898,1773.0000118786202,3247.4480750232588,1182.0000079190802,1182.0000079153672,1181.9999994203934,1.1879581992924135e-6,886.4999995652951,886.499999125184,1181.9999988324446,0.0,-138427.0696412296,-1.5075946577625398e6,-84075.50787723198,-5.979248412538568e6,-28067.691545114743,6932.866490766872,-49027.598390348896,91169.42202769016,0.0
838,22,3,5,1.0,120.14672099775726,73.15412555301911,4.702104665686985,117.11923591445044,164.8435137896527,513.6160481483558,11113.86312739662,5603.520786776,15458.0,10595.795183946246,1773.000011850265,1031.6840251944052,1182.0000079001766,1182.000007896614,1181.9999994004363,2.1377843451230404e-7,886.4999995503273,886.4999991278167,1181.999998835636,0.0,-64124.36045322126,-1.3875527600397218e6,-113499.2157446813,-5.573084781816669e6,-28067.694973330515,-3485.8907124489488,-49027.59852095196,91169.4217664861,0.0
839,23,3,5,1.0,123.6068635600747,75.74923317921561,5.158773532502491,119.7143435451453,168.30365731041152,0.0,9683.09213274023,6364.587833348096,14274.68,9683.09213666551,1773.0000118320274,0.004221102688828131,1182.0000078880182,1182.0000078845378,1181.9999993887661,1.3831695506024162e-7,886.4999995415747,886.4999991298121,1181.9999988380123,0.0,0.0,-1.2468495274984178e6,-134204.83022936538,-5.118183465498272e6,-23437.473607453714,-8336.956875689066,-49027.59854593537,91169.42175498209,0.0
