Time;jh;jd;jy;W;Elec_Price;H2_Price;Elec_GC_Price;H2_GC_Price;EP_Price;Gen_VRES_01_g;Gen_Conv_01_g;Cons_Elec_01_d;Demand_GC_Elec_01_d_gc;Prod_H2_Green_e_in;Prod_H2_Green_q_elec_gc;Prod_H2_Green_h2_out;Prod_H2_Green_q_h2gc;Offtaker_Green_h2_in;Offtaker_Green_q_h2gc;Offtaker_Green_ep;Offtaker_Grey_ep;Offtaker_Grey_q_h2gc;Offtaker_Import_ep;Gen_VRES_01_obj;Gen_Conv_01_obj;Cons_Elec_01_obj;Demand_GC_Elec_01_obj;Prod_H2_Green_obj;Offtaker_Green_obj;Offtaker_Grey_obj;Offtaker_Import_obj
111;15;5;1;32.67128653;-16.70688251;27.13491062;16.9123968;49.33298842;127.41556;91.28449574;0;28.8;6.294425097;62.62822203;84.98418288;41.75214802;41.75214802;41.59993275;35.31379965;31.19994957;4.888715173;6.412273358;0;-612.922094;0;-479411.866;-311.3488748;-87444.00315;-28947.20653;5956.293864;0
112;16;5;1;32.67128653;58.9271478;68.29799373;16.75195845;49.05254269;126.3906285;68.17047919;0;30;6.596717227;38.09520149;61.64318673;25.396801;25.396801;25.57092949;3.3748914;19.17819712;16.58774035;22.11698713;0;-168553.8115;0;-424961.4866;-344.5919683;12197.75473;-12340.16777;21142.68603;0
113;17;5;1;32.67128653;60.24701009;70.43117373;16.8465647;49.27328038;128.1218493;40.57766618;18.11260394;32.8;6.426386832;25.97022025;34.21282185;17.31348016;17.31348016;17.88874275;0.126758344;13.41655706;22.45368813;17.1271399;0;-102204.8454;-146.1712049;-462460.0374;-324.7716405;3934.811707;-11724.65493;6941.705216;0
114;18;5;1;32.67128653;60.1653472;69.97633368;16.91891136;49.30643125;127.8281005;19.47727977;36.02489995;35.2;6.296131035;20.33479664;13.23666353;13.55653109;13.55653109;13.98075701;0.042860598;10.48556776;25.420005;13.4346147;0;-49052.39743;-194.6103155;-495702.4739;-310.0054663;-4214.298047;-9360.840252;-1469.474332;0
115;19;5;1;32.67128653;59.91555904;69.15410803;16.95786634;49.35545371;127.3128428;8.115533237;43.79965433;36.8;6.225989611;15.02121301;1.941810913;10.01414201;10.01414201;9.84505571;0.178898119;7.383791783;28.66170005;9.768548923;0;-20382.59759;120.8342566;-518053.8043;-302.1948906;-7311.697016;-6492.089657;-9824.299766;0
116;20;5;1;32.67128653;60.02240864;69.34545679;20.61102652;49.36794438;127.4329706;0;49.77076857;35.2;0;14.47094255;1.03E-11;9.647295035;9.647295035;9.289139335;0.169196757;6.966854501;29.15078535;9.468825855;0;0;-36.43812243;-495866.8574;0;-8094.000643;-6094.05997;-10854.58308;0
117;21;5;1;32.67128653;59.88345592;69.00727397;20.61102652;49.36665682;127.2207373;0;49.04813544;32.8;0;16.12771527;1.03E-11;10.75181018;10.75181018;10.51913409;0.208377072;7.889350568;28.16908556;10.47787394;0;0;186.7578853;-462849.6287;0;-8974.648106;-6935.457258;-8152.324684;0
118;22;5;1;32.67128653;59.9985885;69.34758281;20.61102652;49.34550633;127.4291575;0;47.10360604;30;0;17.01968741;1.03E-11;11.34645827;11.34645827;11.24201902;0.13667226;8.431514268;27.59808111;11.13198084;0;0;2.172212552;-423911.3262;0;-9525.300101;-7483.330484;-6785.136224;0
119;23;5;1;32.67128653;59.88253497;68.98597184;20.61102652;49.37185098;127.2081965;0;42.27398062;27.2;0;14.96635921;1.03E-11;9.977572804;9.977572804;9.746397225;0.197832301;7.309797919;28.75076571;9.726493702;0;0;162.2362742;-385071.4624;0;-8323.583531;-6422.050806;-9868.083869;0
120;24;5;1;32.67128653;59.9821392;69.30610368;20.61102652;49.34772207;127.4026684;0;38.8364304;23.2;0;15.53767183;1.03E-11;10.35844789;10.35844789;10.19928851;0.165824497;7.649466384;28.39434888;10.11859514;0;0;22.66242476;-329125.7826;0;-8690.932457;-6728.983274;-9107.16379;0
121;1;6;1;35.31054133;59.8745737;68.89900981;20.65019543;49.38132792;127.1625486;0;35.01609538;18;0;16.98256378;9.41E-12;11.32170919;11.32170919;11.35584338;0.058043406;8.516882535;27.46943918;11.19881499;0;0;155.0817576;-276879.0531;0;-10181.67779;-8408.770627;-6819.440862;0
122;2;6;1;35.31054133;59.94392814;69.09845309;20.66999211;49.39090326;127.2869163;0;34.41987057;16.8;0;17.62275588;9.36E-12;11.74850392;11.74850392;11.96152036;2.87E-05;8.971140266;26.96658821;11.68684312;0;0;68.14886191;-258557.2725;0;-10609.05016;-8918.977539;-5600.650782;0
123;3;6;1;35.31054133;59.99206854;69.22456041;20.68318993;49.41322587;127.3672167;0;34.03235582;16;0;18.06106101;9.32E-12;12.04070734;12.04070734;12.37422635;8.74E-08;9.28066976;26.6240552;11.98537992;0;0;9.531240608;-246330.8173;0;-10905.31931;-9197.972463;-4816.004869;0
124;4;6;1;35.31054133;59.99206854;69.22456041;20.68318993;49.41322587;127.3672167;0;34.03235582;16;0;18.06106101;9.32E-12;12.04070734;12.04070734;12.37422635;8.74E-08;9.28066976;26.6240552;11.98537992;0;0;9.531240608;-246330.8173;0;-10905.31931;-9197.972463;-4816.004869;0
